variables="x","C<sub>f</sub>"
zone, t="CFL3D"
 1.786106378E-01 3.471383825E-03
 1.802067459E-01 3.466513939E-03
 1.818104088E-01 3.461673157E-03
 1.834216863E-01 3.456860548E-03
 1.850406677E-01 3.452076111E-03
 1.866674274E-01 3.447319381E-03
 1.883020550E-01 3.442589892E-03
 1.899445951E-01 3.437886480E-03
 1.915951520E-01 3.433209611E-03
 1.932538152E-01 3.428558586E-03
 1.949206442E-01 3.423932940E-03
 1.965957433E-01 3.419331741E-03
 1.982791722E-01 3.414755221E-03
 1.999710351E-01 3.410203150E-03
 2.016714215E-01 3.405674594E-03
 2.033804059E-01 3.401169321E-03
 2.050980777E-01 3.396686865E-03
 2.068245411E-01 3.392226994E-03
 2.085598707E-01 3.387789708E-03
 2.103041708E-01 3.383373609E-03
 2.120575309E-01 3.378979163E-03
 2.138200402E-01 3.374605905E-03
 2.155917883E-01 3.370253602E-03
 2.173728943E-01 3.365921322E-03
 2.191634327E-01 3.361608833E-03
 2.209635228E-01 3.357316367E-03
 2.227732539E-01 3.353043692E-03
 2.245927304E-01 3.348789876E-03
 2.264220566E-01 3.344554454E-03
 2.282613367E-01 3.340337891E-03
 2.301106751E-01 3.336139489E-03
 2.319701910E-01 3.331959015E-03
 2.338399738E-01 3.327795770E-03
 2.357201427E-01 3.323649988E-03
 2.376108319E-01 3.319521202E-03
 2.395121157E-01 3.315409180E-03
 2.414241433E-01 3.311312525E-03
 2.433470190E-01 3.307230771E-03
 2.452808470E-01 3.303163452E-03
 2.472257763E-01 3.299111035E-03
 2.491818964E-01 3.295073519E-03
 2.511493564E-01 3.291050438E-03
 2.531282902E-01 3.287042491E-03
 2.551187873E-01 3.283049213E-03
 2.571209967E-01 3.279070603E-03
 2.591350675E-01 3.275105730E-03
 2.611611187E-01 3.271154594E-03
 2.631992698E-01 3.267217427E-03
 2.652496696E-01 3.263293998E-03
 2.673124373E-01 3.259383375E-03
 2.693877518E-01 3.255485790E-03
 2.714757323E-01 3.251600778E-03
 2.735765278E-01 3.247728571E-03
 2.756902874E-01 3.243868938E-03
 2.778171599E-01 3.240020946E-03
 2.799572945E-01 3.236184595E-03
 2.821108401E-01 3.232360352E-03
 2.842779458E-01 3.228547750E-03
 2.864587903E-01 3.224746091E-03
 2.886535227E-01 3.220955376E-03
 2.908623219E-01 3.217175603E-03
 2.930853069E-01 3.213406773E-03
 2.953226864E-01 3.209648188E-03
 2.975746393E-01 3.205899848E-03
 2.998413146E-01 3.202161286E-03
 3.021228909E-01 3.198432736E-03
 3.044195473E-01 3.194714198E-03
 3.067314625E-01 3.191004973E-03
 3.090588450E-01 3.187304828E-03
 3.114018440E-01 3.183613764E-03
 3.137606978E-01 3.179932013E-03
 3.161355257E-01 3.176258877E-03
 3.185265958E-01 3.172594355E-03
 3.209340870E-01 3.168937983E-03
 3.233581781E-01 3.165289992E-03
 3.257990777E-01 3.161650151E-03
 3.282570243E-01 3.158018459E-03
 3.307321966E-01 3.154393984E-03
 3.332248330E-01 3.150776960E-03
 3.357351422E-01 3.147167619E-03
 3.382633626E-01 3.143565729E-03
 3.408097029E-01 3.139970591E-03
 3.433744013E-01 3.136382205E-03
 3.459576964E-01 3.132800572E-03
 3.485597968E-01 3.129225690E-03
 3.511810005E-01 3.125657327E-03
 3.538214862E-01 3.122095019E-03
 3.564815521E-01 3.118538531E-03
 3.591614366E-01 3.114987398E-03
 3.618614078E-01 3.111441387E-03
 3.645817339E-01 3.107899567E-03
 3.673226237E-01 3.104361938E-03
 3.700844347E-01 3.100829199E-03
 3.728674054E-01 3.097301582E-03
 3.756718040E-01 3.093779320E-03
 3.784979284E-01 3.090261715E-03
 3.813460767E-01 3.086748533E-03
 3.842165470E-01 3.083240241E-03
 3.871096373E-01 3.079736372E-03
 3.900256455E-01 3.076236928E-03
 3.929648995E-01 3.072741209E-03
 3.959276974E-01 3.069249680E-03
 3.989143968E-01 3.065761877E-03
 4.019253254E-01 3.062278032E-03
 4.049607813E-01 3.058797680E-03
 4.080211222E-01 3.055320354E-03
 4.111067355E-01 3.051846521E-03
 4.142179191E-01 3.048375947E-03
 4.173550904E-01 3.044908168E-03
 4.205185771E-01 3.041443182E-03
 4.237087667E-01 3.037980758E-03
 4.269260764E-01 3.034521127E-03
 4.301708341E-01 3.031063825E-03
 4.334434569E-01 3.027608851E-03
 4.367443919E-01 3.024155740E-03
 4.400739968E-01 3.020704724E-03
 4.434327483E-01 3.017255571E-03
 4.468210340E-01 3.013808280E-03
 4.502393007E-01 3.010362154E-03
 4.536879957E-01 3.006917424E-03
 4.571675658E-01 3.003474092E-03
 4.606784880E-01 3.000032157E-03
