"Density","Diffusivity_0","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_Species_0","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Species_0","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8248,5.8511e-06,0.00037688,1677.8,0,8.0636e-06,13941,16.264,0.0063346,-9.6002e-13,2.9906e-16,7.4814e-18,-4.4635e-16,2.0624e-14,3.9946e-14,0,0,0,0,0.99678,0.72042,2.9025,62.839,0.040206,0,0,1,0.023144,0.023144,0,0
1.8242,5.8555e-06,0.00039721,1677.4,0,8.0683e-06,14120,16.927,0.006593,-8.3768e-13,3.0456e-16,6.7125e-18,-4.2611e-16,2.0871e-14,4.0496e-14,0,0,0,0,0.99614,0.75807,3.1096,62.702,0.042531,0,0,1,0.023565,0.023565,0,0
1.8236,5.8598e-06,0.00041754,1677,0,8.073e-06,14300,17.591,0.0068514,-7.1535e-13,3.1005e-16,5.9436e-18,-4.0586e-16,2.1118e-14,4.1046e-14,0,0,0,0,0.9955,0.79572,3.3167,62.564,0.044856,0,0,1,0.023986,0.023986,0,0
1.823,5.8642e-06,0.00043786,1676.6,0,8.0777e-06,14479,18.254,0.0071098,-5.9302e-13,3.1555e-16,5.1747e-18,-3.8561e-16,2.1366e-14,4.1596e-14,0,0,0,0,0.99487,0.83338,3.5238,62.427,0.047182,0,0,1,0.024406,0.024406,0,0
1.8224,5.8686e-06,0.00045819,1676.1,0,8.0824e-06,14658,18.917,0.0073682,-4.7068e-13,3.2105e-16,4.4058e-18,-3.6536e-16,2.1613e-14,4.2146e-14,0,0,0,0,0.99423,0.87103,3.7309,62.29,0.049507,0,0,1,0.024827,0.024827,0,0
1.8218,5.8729e-06,0.00047852,1675.7,0,8.0871e-06,14837,19.581,0.0076266,-3.4835e-13,3.2655e-16,3.6369e-18,-3.4512e-16,2.186e-14,4.2696e-14,0,0,0,0,0.99359,0.90868,3.938,62.153,0.051832,0,0,1,0.025248,0.025248,0,0
1.8212,5.8773e-06,0.00049884,1675.3,0,8.0918e-06,15017,20.244,0.007885,-2.2601e-13,3.3204e-16,2.868e-18,-3.2487e-16,2.2107e-14,4.3247e-14,0,0,0,0,0.99295,0.94634,4.1451,62.015,0.054157,0,0,1,0.025669,0.025669,0,0
1.8206,5.8817e-06,0.00051917,1674.8,0,8.0964e-06,15196,20.908,0.0081434,-1.0368e-13,3.3754e-16,2.0991e-18,-3.0462e-16,2.2354e-14,4.3797e-14,0,0,0,0,0.99232,0.98399,4.3522,61.878,0.056483,0,0,1,0.02609,0.02609,0,0
1.82,5.886e-06,0.0005395,1674.4,0,8.1011e-06,15375,21.571,0.0084018,1.8659e-14,3.4304e-16,1.3302e-18,-2.8438e-16,2.2602e-14,4.4347e-14,0,0,0,0,0.99168,1.0216,4.5594,61.741,0.058808,0,0,1,0.02651,0.02651,0,0
1.8185,5.8971e-06,0.00057251,1673.4,0,8.1129e-06,15535,22.297,0.0086846,8.0961e-14,3.4147e-16,3.8102e-18,-2.6169e-16,2.2349e-14,4.4086e-14,0,0,0,0,0.9901,1.082,4.9218,61.552,0.061457,0,0,1,0.026931,0.026931,0,0
