"x","y_y0","u"
 7.500000000E-01, 7.612071931E-02, 1.152337551E+00
 7.500000000E-01, 7.767151296E-02, 1.150536299E+00
 7.500000000E-01, 7.925391197E-02, 1.148729563E+00
 7.500000000E-01, 8.086855710E-02, 1.146917462E+00
 7.500000000E-01, 8.251608908E-02, 1.145100713E+00
 7.500000000E-01, 8.419719338E-02, 1.143279433E+00
 7.500000000E-01, 8.591254056E-02, 1.141454339E+00
 7.500000000E-01, 8.766283095E-02, 1.139625788E+00
 7.500000000E-01, 8.944877982E-02, 1.137794375E+00
 7.500000000E-01, 9.127111733E-02, 1.135960579E+00
 7.500000000E-01, 9.313058853E-02, 1.134124756E+00
 7.500000000E-01, 9.502793849E-02, 1.132287502E+00
 7.500000000E-01, 9.696392715E-02, 1.130449295E+00
 7.500000000E-01, 9.893937409E-02, 1.128610849E+00
 7.500000000E-01, 1.009550691E-01, 1.126772285E+00
 7.500000000E-01, 1.030118167E-01, 1.124934435E+00
 7.500000000E-01, 1.051104814E-01, 1.123097777E+00
 7.500000000E-01, 1.072518975E-01, 1.121262789E+00
 7.500000000E-01, 1.094369292E-01, 1.119430065E+00
 7.500000000E-01, 1.116664857E-01, 1.117600083E+00
 7.500000000E-01, 1.139414757E-01, 1.115773559E+00
 7.500000000E-01, 1.162627935E-01, 1.113950729E+00
 7.500000000E-01, 1.186314225E-01, 1.112132311E+00
 7.500000000E-01, 1.210482866E-01, 1.110318780E+00
 7.500000000E-01, 1.235143989E-01, 1.108510733E+00
 7.500000000E-01, 1.260307580E-01, 1.106708884E+00
 7.500000000E-01, 1.285983771E-01, 1.104913592E+00
 7.500000000E-01, 1.312183142E-01, 1.103125215E+00
 7.500000000E-01, 1.338916272E-01, 1.101344585E+00
 7.500000000E-01, 1.366193891E-01, 1.099572062E+00
 7.500000000E-01, 1.394027323E-01, 1.097808361E+00
